iter	Passed	Remaining
0	2	890
1	4	963
2	8	1168
3	12	1219
4	15	1183
5	17	1145
6	20	1125
7	22	1091
8	24	1072
9	26	1048
10	29	1038
11	31	1028
12	35	1043
13	37	1032
14	40	1025
15	42	1011
16	44	1008
17	47	1010
18	50	1002
19	52	995
20	54	987
21	57	990
22	60	981
23	62	974
24	64	970
25	68	975
26	70	976
27	73	977
28	76	973
29	79	974
30	82	981
31	85	982
32	88	984
33	91	980
34	93	975
35	96	977
36	99	974
37	102	974
38	105	969
39	108	970
40	110	965
41	112	959
42	115	955
43	118	953
44	120	951
45	123	949
46	126	946
47	129	948
48	132	948
49	135	942
50	137	941
51	140	938
52	143	938
53	146	935
54	149	933
55	151	929
56	155	932
57	157	927
58	160	923
59	165	934
60	168	934
61	171	931
62	173	927
63	176	926
64	179	924
65	182	920
66	184	915
67	187	911
68	190	910
69	192	907
70	195	904
71	199	907
72	202	904
73	205	901
74	208	899
75	211	897
76	213	893
77	216	890
78	219	888
79	222	886
80	225	886
81	228	882
82	231	881
83	234	879
84	236	875
85	239	871
86	242	868
87	246	870
88	249	867
89	252	866
90	254	863
91	257	858
92	260	855
93	263	854
94	266	851
95	269	849
96	272	848
97	275	847
98	278	842
99	280	838
100	283	835
101	285	831
102	287	827
103	291	827
104	295	826
105	297	823
106	300	819
107	303	817
108	306	814
109	308	811
110	312	811
111	316	811
112	319	808
113	322	807
114	325	804
115	328	801
116	331	798
117	334	796
118	337	793
119	340	791
120	342	788
121	346	785
122	349	783
123	352	781
124	355	778
125	357	775
126	360	772
127	363	768
128	365	765
129	368	762
130	371	759
131	373	756
132	376	752
133	378	749
134	382	747
135	385	744
136	387	740
137	389	737
138	392	734
139	395	732
140	398	729
141	401	726
142	403	723
143	407	720
144	410	718
145	414	717
146	416	714
147	419	711
148	422	708
149	425	705
150	428	703
151	431	700
152	433	697
153	436	693
154	439	691
155	441	688
156	444	684
157	447	682
158	449	679
159	452	676
160	455	673
161	459	671
162	461	668
163	464	665
164	467	663
165	470	660
166	472	656
167	475	653
168	477	650
169	481	648
170	484	645
171	486	642
172	489	639
173	492	636
174	497	637
175	500	634
176	503	631
177	505	628
178	508	625
179	511	622
180	513	618
181	516	616
182	519	613
183	522	610
184	525	607
185	528	604
186	531	602
187	534	599
188	539	599
189	544	598
190	549	597
191	552	595
192	555	593
193	559	591
194	563	589
195	566	586
196	568	583
197	571	580
198	575	577
199	577	574
200	580	571
201	583	569
202	586	566
203	589	563
204	591	560
205	594	556
206	597	553
207	599	550
208	602	547
209	605	544
210	607	541
211	610	538
212	612	535
213	617	533
214	621	531
215	624	528
216	626	525
217	628	522
218	631	519
219	634	515
220	636	513
221	639	509
222	642	507
223	645	504
224	649	502
225	652	499
226	654	495
227	656	492
228	659	489
229	661	486
230	664	483
231	667	480
232	671	478
233	674	475
234	677	472
235	680	470
236	683	467
237	685	463
238	687	460
239	691	457
240	695	455
241	698	453
242	701	450
243	704	447
244	707	444
245	711	442
246	713	439
247	715	435
248	718	433
249	721	429
250	723	426
251	726	423
252	728	420
253	731	417
254	735	415
255	737	411
256	740	408
257	743	406
258	746	403
259	748	400
260	751	397
261	753	394
262	756	391
263	758	388
264	761	385
265	764	382
266	767	379
267	770	376
268	773	373
269	775	370
270	778	367
271	780	364
272	783	361
273	786	358
274	789	355
275	791	352
276	794	350
277	797	347
278	800	344
279	804	341
280	807	338
281	810	336
282	812	333
283	815	330
284	818	327
285	821	324
286	824	321
287	826	318
288	829	315
289	832	312
290	834	309
291	837	306
292	839	303
293	843	301
294	846	298
295	849	295
296	851	292
297	854	289
298	857	286
299	859	283
300	862	280
301	865	277
302	867	274
303	870	271
304	873	269
305	876	266
306	878	263
307	881	260
308	884	257
309	887	254
310	889	251
311	892	248
312	894	245
313	897	243
314	900	240
315	902	237
316	905	234
317	908	231
318	911	228
319	913	225
320	917	222
321	919	219
322	922	216
323	924	214
324	928	211
325	930	208
326	933	205
327	936	202
328	938	199
329	940	196
330	943	193
331	946	190
332	949	188
333	952	185
334	954	182
335	956	179
336	959	176
337	961	173
338	964	170
339	966	167
340	969	164
341	972	162
342	974	159
343	977	156
344	979	153
345	981	150
346	983	147
347	986	144
348	988	141
349	991	138
350	993	135
351	995	132
352	997	130
353	1000	127
354	1003	124
355	1005	121
356	1008	118
357	1011	115
358	1014	112
359	1016	110
360	1018	107
361	1021	104
362	1023	101
363	1026	98
364	1029	95
365	1031	93
366	1033	90
367	1036	87
368	1039	84
369	1043	81
370	1045	78
371	1047	76
372	1050	73
373	1053	70
374	1055	67
375	1058	64
376	1061	61
377	1063	59
378	1066	56
379	1068	53
380	1070	50
381	1073	47
382	1075	44
383	1078	42
384	1080	39
385	1083	36
386	1085	33
387	1088	30
388	1090	28
389	1093	25
390	1095	22
391	1098	19
392	1101	16
393	1104	14
394	1107	11
395	1109	8
396	1112	5
397	1115	2
398	1117	0
