feature,mean_abs_shap
COUT_TOTAL,3.203099
CHARLSON_INDEX,0.17835484
SP_COPD,0.14508487
SP_CHF,0.099340886
SP_CHRNKIDN,0.07477891
SP_RA_OA,0.07311738
SP_DIABETES,0.042884536
SP_CNCR,0.03550136
SP_DEPRESSN,0.022245482
SP_ALZHDMTA,0.017420087
NB_COMORBIDITES,0.010752982
SP_OSTEOPRS,0.008665971
SP_STRKETIA,0.008132532
RACE_ENC,0.0075127212
SEXE_ENC,0.0025894209
SP_ISCHMCHT,0.0017681656
AGE,0.0
BENE_ESRD_IND,0.0
GROUPE_AGE_ENC,0.0
IS_NEW_PATIENT,0.0
NB_HOSP_PASSEES,0.0
NB_OP_3M,0.0
NB_OP_6M,0.0
NB_OP_12M,0.0
NB_CAR_6M,0.0
NB_PRESCRIPTIONS,0.0
NB_MOLECULES_UNIQUES,0.0
POLYPHARMACIE,0.0
