split,threshold,auc_roc,precision,recall,f1,true_negative,false_positive,false_negative,true_positive,predicted_positive
validation,0.01,0.9409089313257901,0.09593281856029605,1.0,0.17507061917594727,1407,25407,0,2696,28103
validation,0.02,0.9409089313257901,0.11945665201757891,0.9981454005934718,0.21337668001427268,6978,19836,5,2691,22527
validation,0.03,0.9409089313257901,0.12611978800243892,0.9974035608308606,0.22392471999000707,8182,18632,7,2689,21321
validation,0.04,0.9409089313257901,0.13295055189823293,0.9962908011869436,0.23459539717891612,9297,17517,10,2686,20203
validation,0.05,0.9409089313257901,0.1380729461392047,0.9955489614243324,0.24251185904675854,10059,16755,12,2684,19439
validation,0.1,0.9409089313257901,0.15448466682038275,0.9940652818991098,0.26741169427260025,12146,14668,16,2680,17348
validation,0.15,0.9409089313257901,0.1641992751397506,0.9914688427299704,0.2817391304347826,13208,13606,23,2673,16279
validation,0.2,0.9409089313257901,0.2379930238797961,0.9870178041543026,0.38351228651725877,18294,8520,35,2661,11181
validation,0.25,0.9409089313257901,0.2832283548628163,0.9840504451038575,0.43985741523667415,20100,6714,43,2653,9367
validation,0.3,0.9409089313257901,0.32696838189708616,0.9781157270029673,0.4901031502648453,21386,5428,59,2637,8065
validation,0.35,0.9409089313257901,0.3661577251715927,0.9695845697329377,0.5315709201830199,22289,4525,82,2614,7139
validation,0.4,0.9409089313257901,0.39131090662241663,0.962166172106825,0.5563538873994638,22779,4035,102,2594,6629
validation,0.45,0.9409089313257901,0.4075255102040816,0.9480712166172107,0.5700267618198037,23098,3716,140,2556,6272
validation,0.5,0.9409089313257901,0.44130626654898497,0.9272997032640949,0.598014591556034,23649,3165,196,2500,5665
validation,0.55,0.9409089313257901,0.4690074539034916,0.8868694362017804,0.613548883756736,24107,2707,305,2391,5098
validation,0.6,0.9409089313257901,0.5158730158730159,0.7474035608308606,0.6104210845198424,24923,1891,681,2015,3906
validation,0.65,0.9409089313257901,0.4842164599774521,0.318620178041543,0.3843400447427293,25899,915,1837,859,1774
validation,0.7,0.9409089313257901,0.48624440179142675,0.2818991097922849,0.35689128903498474,26011,803,1936,760,1563
validation,0.75,0.9409089313257901,0.49493487698986977,0.25370919881305637,0.33545855811672387,26116,698,2012,684,1382
validation,0.8,0.9409089313257901,0.5081127241673783,0.2206973293768546,0.3077320920610292,26238,576,2101,595,1171
validation,0.85,0.9409089313257901,0.5145728643216081,0.18991097922848665,0.2774315903549174,26331,483,2184,512,995
validation,0.9,0.9409089313257901,0.5405046480743692,0.15096439169139467,0.2360104378080603,26468,346,2289,407,753
validation,0.95,0.9409089313257901,0.6082089552238806,0.06045994065281899,0.10998650472334683,26709,105,2533,163,268
test,0.01,0.9610662006098841,0.09018044309260553,0.9990892531876139,0.16542884071630537,4744,22135,2,2194,24329
test,0.02,0.9610662006098841,0.12081722805080067,0.9963570127504554,0.21550280705210284,10957,15922,8,2188,18110
test,0.03,0.9610662006098841,0.13046073048460252,0.9954462659380692,0.23068805403123682,12309,14570,10,2186,16756
test,0.04,0.9610662006098841,0.14148618856179485,0.9936247723132969,0.24770121466681802,13639,13240,14,2182,15422
test,0.05,0.9610662006098841,0.1480046230199198,0.9913479052823315,0.25755693581780537,14347,12532,19,2177,14709
test,0.1,0.9610662006098841,0.17224307274614709,0.98224043715847,0.2930905632176099,16513,10366,39,2157,12523
test,0.15,0.9610662006098841,0.18513701005896635,0.9722222222222222,0.3110431235431235,17482,9397,61,2135,11532
test,0.2,0.9610662006098841,0.32273280584297015,0.9658469945355191,0.48380474452554745,22428,4451,75,2121,6572
test,0.25,0.9610662006098841,0.40740019474196687,0.9526411657559198,0.570727049515755,23836,3043,104,2092,5135
test,0.3,0.9610662006098841,0.4774566473988439,0.9403460837887068,0.6333384450237693,24619,2260,131,2065,4325
test,0.35,0.9610662006098841,0.5231719876416066,0.9253187613843351,0.6684210526315789,25027,1852,164,2032,3884
test,0.4,0.9610662006098841,0.5483516483516484,0.9089253187613844,0.6840301576422207,25235,1644,200,1996,3640
test,0.45,0.9610662006098841,0.5654328184202856,0.8834244080145719,0.6895326106273325,25388,1491,256,1940,3431
test,0.5,0.9610662006098841,0.5993421052631579,0.8296903460837887,0.6959511077158136,25661,1218,374,1822,3040
test,0.55,0.9610662006098841,0.6200073286918285,0.7704918032786885,0.6871065989847716,25842,1037,504,1692,2729
test,0.6,0.9610662006098841,0.6547061882475299,0.5733151183970856,0.6113134255887351,26215,664,937,1259,1923
test,0.65,0.9610662006098841,0.6785714285714286,0.3114754098360656,0.42696629213483145,26555,324,1512,684,1008
test,0.7,0.9610662006098841,0.6860068259385665,0.27459016393442626,0.3921951219512195,26603,276,1593,603,879
test,0.75,0.9610662006098841,0.6962190352020861,0.24316939890710382,0.3604454944313196,26646,233,1662,534,767
test,0.8,0.9610662006098841,0.702954898911353,0.2058287795992714,0.31842197957027124,26688,191,1744,452,643
test,0.85,0.9610662006098841,0.70817843866171,0.17349726775956284,0.2787125091441112,26722,157,1815,381,538
test,0.9,0.9610662006098841,0.7292817679558011,0.12021857923497267,0.20641125879593433,26781,98,1932,264,362
test,0.95,0.9610662006098841,0.7195121951219512,0.02686703096539162,0.05179982440737489,26856,23,2137,59,82
